word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
προς τα πίσω,0,0,0,0,0,0,0,0,0,0
άβακας,0,0,0,0,0,0,0,0,0,1
εγκαταλείπω,0,0,0,1,0,1,0,1,0,0
εγκαταλειμμένος,1,0,0,1,0,1,0,1,0,0
εγκατάλειψη,1,0,0,1,0,1,0,1,1,0
μειώνω,0,0,0,0,0,0,0,0,0,0
μείωση,0,0,0,0,0,0,0,0,0,0
αβάς,0,0,0,0,0,0,1,0,0,0
ηγούμενος,0,0,0,0,0,0,0,0,0,1
βραχύνω,0,0,0,0,0,0,0,0,0,0
συντομογραφία,0,0,0,0,0,0,0,0,0,0
κοιλιά,0,0,0,0,0,0,0,0,0,0
κοιλιακός,0,0,0,0,0,0,0,0,0,0
απαγωγή,0,0,0,1,0,1,0,1,1,0
ανώμαλος,0,0,0,0,0,1,0,0,0,0
εκτροπή,0,0,1,0,0,1,0,0,0,0
αναστολή,0,0,0,0,0,0,0,0,0,0
απεχθάνομαι,1,0,1,1,0,1,0,0,0,0
απεχθής,1,0,1,1,0,1,0,0,0,0
συμμορφώνομαι,0,0,0,0,0,0,0,0,0,0
ικανότητα,0,0,0,0,0,0,1,0,0,0
άθλιος,0,0,1,0,0,1,0,0,0,0
εκτομή,0,0,0,0,0,0,0,0,0,0
λάμπων,0,0,0,0,0,0,0,0,0,0
ασυνήθιστος,0,0,1,0,0,1,0,0,0,0
ένας πίνακας,0,0,0,0,0,0,0,0,0,0
κατοικία,0,0,0,0,0,0,0,0,0,0
καταργώ,1,0,0,0,0,1,0,0,0,0
κατάργηση,0,0,0,0,0,1,0,0,0,0
απαίσιος,0,0,1,1,0,1,0,0,0,0
βδέλυγμα,1,0,1,1,0,1,0,0,0,0
ιθαγενής,0,0,0,0,0,0,0,0,0,0
κάνω αποβολή,0,0,0,0,0,1,0,0,0,0
άμβλωση,0,0,1,1,0,1,0,1,0,0
ανεπιτυχής,0,0,0,0,0,1,0,1,0,0
βρίθω,0,0,0,0,0,0,0,0,0,0
τα προαναφερθέντα,0,0,0,0,0,0,1,0,0,0
τριβή,0,0,0,0,0,1,0,0,0,0
στο εξωτερικο,0,0,0,0,0,0,0,0,0,0
ακυρώνω,0,0,0,0,0,1,0,0,0,0
απότομος,0,0,0,0,0,0,0,0,1,0
απότομα,0,0,0,0,0,0,0,0,0,0
απόστημα,0,0,0,0,0,1,0,1,0,0
απουσία,0,0,0,1,0,1,0,1,0,0
απών,0,0,0,0,0,1,0,1,0,0
απών,0,0,0,0,0,1,0,1,0,0
κατά συνήθεια απουσία,0,0,0,0,0,1,0,0,0,0
αψέντι,0,0,0,0,0,0,0,0,0,0
απόλυτος,0,0,0,0,0,0,1,0,0,0
απαλλαγή,0,0,0,0,1,0,1,0,0,1
απορροφάται,0,0,0,0,0,0,1,0,0,0
απορροφητικό,0,0,0,0,0,0,0,0,0,0
απορρόφηση,0,0,0,0,0,0,0,0,0,0
απορρόφηση,0,0,0,0,0,0,0,0,0,0
απέχω,0,0,0,0,0,0,0,0,0,0
αποχή,0,0,0,0,0,0,0,0,0,0
αποχή,0,0,0,0,0,0,0,0,0,0
αφηρημένη,0,0,0,0,0,0,0,0,0,0
αφαίρεση,0,0,0,0,0,0,0,0,0,0
παράλογος,0,0,0,0,0,1,0,0,0,0
παραλογισμός,0,0,0,0,0,1,0,0,0,0
αφθονία,0,1,1,0,1,1,1,0,0,1
άφθονος,0,0,0,0,1,0,1,0,0,0
κατάχρηση,1,0,1,1,0,1,0,1,0,0
στήριγμα,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
αβυσσαλέος,0,0,0,0,0,1,0,1,0,0
άβυσσος,0,0,0,1,0,1,0,1,0,0
ακαδημαϊκός,0,0,0,0,0,0,1,0,0,1
ακαδημία,0,0,0,0,0,0,1,0,0,0
ανέρχομαι,0,0,0,0,0,0,0,0,0,0
επιταχύνω,0,1,0,0,0,0,0,0,0,0
επιτάχυνση,0,0,0,0,0,0,0,0,0,0
προφορά,0,0,0,0,0,0,0,0,0,0
τονίζω,0,0,0,0,0,0,0,0,0,0
αποδέχομαι,0,0,0,0,0,0,0,0,0,0
δεκτός,0,0,0,0,0,0,1,0,0,0
αποδοχή,0,0,0,0,0,0,1,0,0,0
πρόσβαση,0,0,0,0,0,0,0,0,0,0
προσιτός,0,0,0,0,0,0,1,0,0,0
ένταξη,0,0,0,0,0,0,0,0,0,0
αξεσουάρ,0,0,0,0,0,0,0,0,0,0
ατύχημα,0,0,0,1,0,1,0,1,1,0
τυχαίος,0,0,0,1,0,1,0,0,1,0
κατά λάθος,0,0,0,0,0,0,0,0,1,0
χειροτονία ιππότου,0,1,0,0,1,0,1,0,1,1
φιλοξενώ,0,0,0,0,0,0,0,0,0,0
κατάλυμα,0,0,0,0,0,0,1,0,0,0
συνοδεία,0,1,0,0,1,0,1,0,0,1
συνοδεύω,0,0,0,0,0,0,0,0,0,0
συνοδευτικά,0,0,0,0,0,0,0,0,0,0
συνένοχος,0,0,0,0,0,0,0,0,0,0
ολοκληρώσει,0,0,0,0,1,0,1,0,0,0
τέλειος,0,0,0,0,1,0,1,0,0,0
εκπλήρωση,0,0,0,0,0,0,1,0,0,0
συμφωνία,0,0,0,0,0,0,1,0,0,1
συμφωνία,0,0,0,0,0,0,0,0,0,0
