Portuguese Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
surpresa,0,0,0,0,0,0,0,0,0,0
ábaco,0,0,0,0,0,0,0,0,0,1
abandono,0,0,0,1,0,1,0,1,0,0
abandonado,1,0,0,1,0,1,0,1,0,0
abandono,1,0,0,1,0,1,0,1,1,0
diminuir,0,0,0,0,0,0,0,0,0,0
redução,0,0,0,0,0,0,0,0,0,0
aba,0,0,0,0,0,0,1,0,0,0
abade,0,0,0,0,0,0,0,0,0,1
abreviar,0,0,0,0,0,0,0,0,0,0
abreviação,0,0,0,0,0,0,0,0,0,0
abdômen,0,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0,0,0,0,0,0
rapto,0,0,0,1,0,1,0,1,1,0
aberrante,0,0,0,0,0,1,0,0,0,0
aberração,0,0,1,0,0,1,0,0,0,0
suspensão,0,0,0,0,0,0,0,0,0,0
abominar,1,0,1,1,0,1,0,0,0,0
abominável,1,0,1,1,0,1,0,0,0,0
residir,0,0,0,0,0,0,0,0,0,0
habilidade,0,0,0,0,0,0,1,0,0,0
abjeto,0,0,1,0,0,1,0,0,0,0
ablação,0,0,0,0,0,0,0,0,0,0
em chamas,0,0,0,0,0,0,0,0,0,0
anormal,0,0,1,0,0,1,0,0,0,0
a bordo,0,0,0,0,0,0,0,0,0,0
morada,0,0,0,0,0,0,0,0,0,0
abolir,1,0,0,0,0,1,0,0,0,0
abolição,0,0,0,0,0,1,0,0,0,0
abominável,0,0,1,1,0,1,0,0,0,0
abominação,1,0,1,1,0,1,0,0,0,0
aborígene,0,0,0,0,0,0,0,0,0,0
abortar,0,0,0,0,0,1,0,0,0,0
aborto,0,0,1,1,0,1,0,1,0,0
abortivo,0,0,0,0,0,1,0,1,0,0
abundam,0,0,0,0,0,0,0,0,0,0
mencionado acima,0,0,0,0,0,0,1,0,0,0
abrasão,0,0,0,0,0,1,0,0,0,0
fora do país,0,0,0,0,0,0,0,0,0,0
revogar,0,0,0,0,0,1,0,0,0,0
abrupto,0,0,0,0,0,0,0,0,1,0
abruptamente,0,0,0,0,0,0,0,0,0,0
abscesso,0,0,0,0,0,1,0,1,0,0
ausência,0,0,0,1,0,1,0,1,0,0
ausente,0,0,0,0,0,1,0,1,0,0
ausente,0,0,0,0,0,1,0,1,0,0
absentismo,0,0,0,0,0,1,0,0,0,0
absinto,0,0,0,0,0,0,0,0,0,0
absoluto,0,0,0,0,0,0,1,0,0,0
absolvição,0,0,0,0,1,0,1,0,0,1
absorvido,0,0,0,0,0,0,1,0,0,0
absorvente,0,0,0,0,0,0,0,0,0,0
absorvente,0,0,0,0,0,0,0,0,0,0
absorção,0,0,0,0,0,0,0,0,0,0
abster-se,0,0,0,0,0,0,0,0,0,0
abstenção,0,0,0,0,0,0,0,0,0,0
abstinência,0,0,0,0,0,0,0,0,0,0
abstrato,0,0,0,0,0,0,0,0,0,0
abstração,0,0,0,0,0,0,0,0,0,0
absurdo,0,0,0,0,0,1,0,0,0,0
absurdo,0,0,0,0,0,1,0,0,0,0
abundância,0,1,1,0,1,1,1,0,0,1
abundante,0,0,0,0,1,0,1,0,0,0
Abuso,1,0,1,1,0,1,0,1,0,0
pilar,0,0,0,0,0,0,0,0,0,0
longe,0,0,0,0,0,0,0,0,0,0
abismal,0,0,0,0,0,1,0,1,0,0
abismo,0,0,0,1,0,1,0,1,0,0
acadêmico,0,0,0,0,0,0,1,0,0,1
Academia,0,0,0,0,0,0,1,0,0,0
aderir,0,0,0,0,0,0,0,0,0,0
acelerar,0,1,0,0,0,0,0,0,0,0
aceleração,0,0,0,0,0,0,0,0,0,0
sotaque,0,0,0,0,0,0,0,0,0,0
acentuar,0,0,0,0,0,0,0,0,0,0
aceitar,0,0,0,0,0,0,0,0,0,0
aceitável,0,0,0,0,0,0,1,0,0,0
aceitação,0,0,0,0,0,0,1,0,0,0
Acesso,0,0,0,0,0,0,0,0,0,0
acessível,0,0,0,0,0,0,1,0,0,0
adesão,0,0,0,0,0,0,0,0,0,0
acessório,0,0,0,0,0,0,0,0,0,0
acidente,0,0,0,1,0,1,0,1,1,0
